feature,p_value,effect_size,significant
V3,2.0043026767838348e-72,1.3147686018959333,True
v_std,3.341715900321251e-24,1.209853493015781,True
v_max,1.4462031943283612e-20,1.129778648915432,True
V1_V3_interaction,3.3572977056602523e-19,0.9429910189210772,True
v_min,1.551305956016046e-15,0.8779600263456521,True
V2,1.5952431112514036e-41,0.8173227433738258,True
Amount,1.953387632441283e-21,0.7870859502343859,True
amount_log,2.0298502130715178e-29,0.7715509899061891,True
V1,6.130007082316064e-39,0.7606763300327455,True
V1_V2_interaction,9.694702876101237e-14,0.6757817265590009,True
amount_rolling_mean,2.7998300832106218e-06,0.2544190709300222,True
amount_rolling_std,9.610465681651738e-06,0.2211241813289738,True
V7,0.0214607280016302,0.1066811810076369,True
